Year,Month,Company,Product,Customer Category,Customer,MJPRDesc,Region,Product Detail,No. of People,SalesOffice,Sales Channel,Price,Regional Manager,Sales Head
2023,May,BGSW,Support,Standard,Infosys,Maintenance,East,Software,9,Delhi,External,3662.85,Meena Das,Sourav Roy
2022,March,BGSW,Consulting,Premium,Wipro,Workpacket,East,Support,2,Kolkata,Internal,1361.93,Meena Das,Sourav Roy
2022,June,BGSW,Support,Premium,TCS,Workpacket,West,Support,4,Delhi,Internal,1860.2,Vikram Joshi,Neha Kapoor
2022,January,BGSW,Services,Basic,Google,Workpacket,North,Software,2,Hyderabad,External,2612.29,Priya Singh,Manoj Verma
2022,February,BGSW,Services,Standard,TCS,Upgrade,West,Services,2,Mumbai,External,833.37,Vikram Joshi,Neha Kapoor
2021,February,BGSW,Support,Premium,Amazon,Support,South,Software,10,Chennai,Internal,3990.62,Anil Kumar,Ravi Shankar
2022,April,BGSW,Support,Basic,BBG,Maintenance,West,Services,10,Kolkata,Internal,4764.16,Vikram Joshi,Neha Kapoor
2023,February,BGSW,Support,Basic,Microsoft,Workpacket,North,Consulting,3,Chennai,Internal,1204.4,Priya Singh,Manoj Verma
2022,June,BGSW,Software,Standard,Microsoft,Workpacket,West,Support,5,Kolkata,External,820.31,Vikram Joshi,Neha Kapoor
2022,June,BGSW,Consulting,Standard,Microsoft,Workpacket,North,Consulting,5,Bangalore,Internal,768.37,Priya Singh,Manoj Verma
2023,June,BGSW,Support,Standard,Microsoft,Upgrade,East,Support,7,Delhi,External,2469.91,Meena Das,Sourav Roy
2022,June,BGSW,Support,Basic,Google,Support,South,Services,4,Kolkata,Internal,4998.08,Anil Kumar,Ravi Shankar
2023,January,BGSW,Consulting,Standard,Infosys,Upgrade,East,Support,3,Chennai,External,3356.53,Meena Das,Sourav Roy
2021,April,BGSW,Support,Standard,Google,Maintenance,West,Services,3,Delhi,External,3621.53,Vikram Joshi,Neha Kapoor
2023,April,BGSW,Services,Standard,Microsoft,Maintenance,East,Support,6,Hyderabad,External,4392.1,Meena Das,Sourav Roy
2023,May,BGSW,Software,Standard,Microsoft,Workpacket,South,Support,10,Mumbai,External,3919.96,Anil Kumar,Ravi Shankar
2022,May,BGSW,Consulting,Standard,BBG,Upgrade,North,Services,1,Kolkata,Internal,3694.02,Priya Singh,Manoj Verma
2023,January,BGSW,Software,Premium,Amazon,Support,East,Software,2,Kolkata,Internal,2742.69,Meena Das,Sourav Roy
2023,June,BGSW,Support,Standard,TCS,Upgrade,East,Software,4,Mumbai,Internal,2226.14,Meena Das,Sourav Roy
2021,March,BGSW,Software,Standard,TCS,Maintenance,North,Services,5,Kolkata,External,4268.64,Priya Singh,Manoj Verma
2021,April,BGSW,Software,Standard,Google,Upgrade,West,Software,6,Bangalore,Internal,3073.09,Vikram Joshi,Neha Kapoor
2022,January,BGSW,Support,Basic,BBG,Upgrade,North,Software,3,Mumbai,Internal,1068.11,Priya Singh,Manoj Verma
2021,April,BGSW,Services,Basic,BBG,Support,East,Consulting,7,Kolkata,Internal,836.73,Meena Das,Sourav Roy
2022,May,BGSW,Software,Basic,Microsoft,Maintenance,East,Software,6,Kolkata,External,4425.72,Meena Das,Sourav Roy
2023,January,BGSW,Consulting,Basic,Wipro,Maintenance,South,Consulting,2,Mumbai,Internal,3921.66,Anil Kumar,Ravi Shankar
2022,February,BGSW,Support,Premium,Microsoft,Maintenance,South,Services,5,Delhi,External,2438.09,Anil Kumar,Ravi Shankar
2023,April,BGSW,Consulting,Premium,Amazon,Support,North,Software,10,Kolkata,Internal,2739.5,Priya Singh,Manoj Verma
2021,April,BGSW,Support,Standard,Google,Support,North,Software,5,Kolkata,Internal,832.38,Priya Singh,Manoj Verma
2023,March,BGSW,Software,Basic,Google,Upgrade,East,Support,4,Mumbai,External,979.94,Meena Das,Sourav Roy
2023,March,BGSW,Support,Basic,Google,Support,West,Software,5,Hyderabad,Internal,4597.78,Vikram Joshi,Neha Kapoor
2022,February,BGSW,Support,Premium,Wipro,Workpacket,West,Support,3,Kolkata,Internal,4565.32,Vikram Joshi,Neha Kapoor
2022,April,BGSW,Services,Basic,Google,Workpacket,South,Services,5,Delhi,External,1290.38,Anil Kumar,Ravi Shankar
2023,March,BGSW,Support,Premium,Google,Upgrade,North,Support,6,Hyderabad,External,4833.02,Priya Singh,Manoj Verma
2021,June,BGSW,Software,Basic,Google,Support,North,Software,1,Delhi,Internal,2546.54,Priya Singh,Manoj Verma
2023,April,BGSW,Support,Premium,Wipro,Workpacket,East,Software,1,Chennai,External,4618.65,Meena Das,Sourav Roy
2023,January,BGSW,Software,Basic,Google,Upgrade,North,Services,3,Hyderabad,Internal,1869.64,Priya Singh,Manoj Verma
2021,January,BGSW,Consulting,Basic,Amazon,Upgrade,West,Software,6,Kolkata,External,3143.03,Vikram Joshi,Neha Kapoor
2022,June,BGSW,Services,Standard,Infosys,Upgrade,North,Support,1,Kolkata,External,1477.71,Priya Singh,Manoj Verma
2021,March,BGSW,Services,Basic,Google,Maintenance,West,Services,7,Delhi,Internal,4856.93,Vikram Joshi,Neha Kapoor
2021,June,BGSW,Consulting,Basic,Wipro,Support,West,Services,6,Bangalore,Internal,4041.4,Vikram Joshi,Neha Kapoor
2021,May,BGSW,Consulting,Basic,Amazon,Workpacket,North,Support,3,Chennai,Internal,1747.74,Priya Singh,Manoj Verma
2021,May,BGSW,Support,Premium,Microsoft,Support,North,Consulting,1,Delhi,Internal,3149.84,Priya Singh,Manoj Verma
2021,March,BGSW,Services,Premium,Wipro,Upgrade,South,Services,2,Mumbai,External,4001.08,Anil Kumar,Ravi Shankar
2022,May,BGSW,Consulting,Basic,Microsoft,Maintenance,South,Software,1,Hyderabad,External,4312.84,Anil Kumar,Ravi Shankar
2023,January,BGSW,Software,Basic,BBG,Support,West,Services,6,Chennai,Internal,795.57,Vikram Joshi,Neha Kapoor
2023,June,BGSW,Support,Standard,Infosys,Maintenance,East,Software,9,Chennai,External,946.3,Meena Das,Sourav Roy
2023,June,BGSW,Consulting,Standard,BBG,Workpacket,South,Software,6,Mumbai,External,2371.95,Anil Kumar,Ravi Shankar
2022,April,BGSW,Support,Basic,Google,Maintenance,South,Consulting,8,Hyderabad,Internal,4242.97,Anil Kumar,Ravi Shankar
2022,January,BGSW,Support,Premium,Infosys,Support,South,Support,2,Mumbai,External,4431.23,Anil Kumar,Ravi Shankar
2023,January,BGSW,Support,Basic,Google,Maintenance,West,Services,10,Chennai,Internal,1196.29,Vikram Joshi,Neha Kapoor
2021,January,BGSW,Support,Basic,Google,Support,West,Support,10,Bangalore,External,4303.2,Vikram Joshi,Neha Kapoor
2023,June,BGSW,Support,Premium,Amazon,Maintenance,South,Support,6,Delhi,Internal,1316.33,Anil Kumar,Ravi Shankar
2023,June,BGSW,Software,Premium,Amazon,Support,North,Services,9,Bangalore,External,2389.25,Priya Singh,Manoj Verma
2021,March,BGSW,Support,Basic,Google,Support,East,Services,3,Bangalore,Internal,3532.86,Meena Das,Sourav Roy
2022,June,BGSW,Software,Standard,Infosys,Upgrade,East,Software,5,Bangalore,Internal,2053.28,Meena Das,Sourav Roy
2022,June,BGSW,Software,Basic,Wipro,Maintenance,South,Services,4,Mumbai,Internal,534.59,Anil Kumar,Ravi Shankar
2021,February,BGSW,Support,Standard,Google,Support,East,Services,8,Kolkata,External,1290.63,Meena Das,Sourav Roy
2023,June,BGSW,Consulting,Basic,Infosys,Maintenance,West,Services,7,Kolkata,Internal,2462.99,Vikram Joshi,Neha Kapoor
2021,March,BGSW,Software,Basic,BBG,Upgrade,West,Support,2,Mumbai,Internal,4847.9,Vikram Joshi,Neha Kapoor
2023,April,BGSW,Support,Premium,BBG,Support,North,Consulting,7,Chennai,External,2857.83,Priya Singh,Manoj Verma
2022,June,BGSW,Support,Premium,Google,Workpacket,West,Services,9,Kolkata,Internal,2887.72,Vikram Joshi,Neha Kapoor
2022,March,BGSW,Consulting,Premium,Microsoft,Workpacket,North,Support,4,Bangalore,Internal,3920.97,Priya Singh,Manoj Verma
2021,June,BGSW,Software,Standard,TCS,Upgrade,South,Support,6,Bangalore,External,807.29,Anil Kumar,Ravi Shankar
2023,March,BGSW,Support,Basic,Microsoft,Maintenance,West,Services,5,Mumbai,External,669.23,Vikram Joshi,Neha Kapoor
2022,January,BGSW,Services,Basic,Infosys,Upgrade,East,Software,10,Chennai,Internal,2523.8,Meena Das,Sourav Roy
2022,May,BGSW,Software,Basic,Amazon,Support,North,Software,2,Delhi,Internal,2770.47,Priya Singh,Manoj Verma
2021,February,BGSW,Software,Standard,Infosys,Workpacket,North,Support,6,Delhi,External,2339.46,Priya Singh,Manoj Verma
2023,May,BGSW,Services,Basic,Wipro,Maintenance,East,Services,6,Hyderabad,External,1778.66,Meena Das,Sourav Roy
2022,January,BGSW,Consulting,Standard,Google,Upgrade,North,Consulting,10,Kolkata,Internal,1893.12,Priya Singh,Manoj Verma
2023,March,BGSW,Consulting,Basic,Wipro,Support,West,Software,9,Delhi,Internal,2131.69,Vikram Joshi,Neha Kapoor
2021,March,BGSW,Software,Premium,Amazon,Workpacket,North,Consulting,2,Delhi,Internal,2784.6,Priya Singh,Manoj Verma
2023,March,BGSW,Consulting,Basic,BBG,Workpacket,South,Consulting,3,Kolkata,Internal,3745.32,Anil Kumar,Ravi Shankar
2022,March,BGSW,Consulting,Standard,Infosys,Maintenance,South,Software,4,Chennai,Internal,1892.61,Anil Kumar,Ravi Shankar
2021,March,BGSW,Software,Standard,TCS,Maintenance,West,Software,9,Chennai,External,4848.21,Vikram Joshi,Neha Kapoor
2023,February,BGSW,Support,Premium,Wipro,Upgrade,North,Support,9,Hyderabad,Internal,1782.78,Priya Singh,Manoj Verma
2022,April,BGSW,Consulting,Standard,Microsoft,Workpacket,North,Software,6,Hyderabad,External,739.66,Priya Singh,Manoj Verma
2021,April,BGSW,Services,Standard,Amazon,Support,East,Support,2,Kolkata,External,4061.21,Meena Das,Sourav Roy
2021,March,BGSW,Software,Basic,TCS,Workpacket,North,Software,8,Chennai,Internal,4576.36,Priya Singh,Manoj Verma
2022,February,BGSW,Consulting,Basic,Wipro,Upgrade,South,Services,5,Bangalore,External,1048.32,Anil Kumar,Ravi Shankar
2022,June,BGSW,Software,Premium,Microsoft,Upgrade,North,Services,9,Chennai,Internal,3733.45,Priya Singh,Manoj Verma
2022,January,BGSW,Support,Premium,Infosys,Upgrade,East,Consulting,2,Chennai,External,804.56,Meena Das,Sourav Roy
2022,April,BGSW,Services,Basic,BBG,Maintenance,South,Support,1,Delhi,Internal,2051.61,Anil Kumar,Ravi Shankar
2023,June,BGSW,Support,Premium,Microsoft,Maintenance,South,Support,3,Kolkata,External,4913.69,Anil Kumar,Ravi Shankar
2023,February,BGSW,Consulting,Premium,Wipro,Upgrade,West,Services,5,Bangalore,Internal,4059.99,Vikram Joshi,Neha Kapoor
2022,March,BGSW,Software,Basic,BBG,Maintenance,South,Services,4,Delhi,External,4379.62,Anil Kumar,Ravi Shankar
2023,March,BGSW,Support,Premium,TCS,Maintenance,South,Software,7,Kolkata,External,4525.87,Anil Kumar,Ravi Shankar
2022,February,BGSW,Software,Basic,BBG,Maintenance,West,Support,2,Kolkata,External,855.17,Vikram Joshi,Neha Kapoor
2023,March,BGSW,Support,Premium,Microsoft,Maintenance,North,Support,5,Mumbai,External,1249.9,Priya Singh,Manoj Verma
2022,April,BGSW,Services,Basic,TCS,Maintenance,West,Software,5,Kolkata,Internal,837.69,Vikram Joshi,Neha Kapoor
2022,May,BGSW,Consulting,Premium,Amazon,Upgrade,West,Services,3,Hyderabad,Internal,4003.32,Vikram Joshi,Neha Kapoor
2022,April,BGSW,Services,Basic,Amazon,Upgrade,East,Support,6,Mumbai,Internal,3082.65,Meena Das,Sourav Roy
2022,March,BGSW,Support,Premium,Microsoft,Support,East,Consulting,8,Chennai,External,4610.94,Meena Das,Sourav Roy
2022,March,BGSW,Software,Premium,Infosys,Maintenance,South,Software,4,Hyderabad,Internal,4337.72,Anil Kumar,Ravi Shankar
2021,June,BGSW,Software,Premium,TCS,Maintenance,West,Support,2,Chennai,External,4510.99,Vikram Joshi,Neha Kapoor
2023,June,BGSW,Consulting,Standard,Infosys,Workpacket,North,Services,4,Bangalore,Internal,4056.68,Priya Singh,Manoj Verma
2022,May,BGSW,Support,Standard,TCS,Workpacket,South,Services,2,Delhi,External,4998.18,Anil Kumar,Ravi Shankar
2023,April,BGSW,Software,Basic,Microsoft,Workpacket,West,Support,2,Mumbai,External,3560.49,Vikram Joshi,Neha Kapoor
2021,May,BGSW,Consulting,Premium,BBG,Support,East,Services,9,Bangalore,External,1240.96,Meena Das,Sourav Roy
2023,February,BGSW,Support,Basic,Google,Support,East,Support,4,Kolkata,External,1063.27,Meena Das,Sourav Roy
2023,May,BGSW,Services,Basic,Wipro,Workpacket,East,Consulting,3,Kolkata,External,4291.39,Meena Das,Sourav Roy
2021,January,BGSW,Services,Basic,TCS,Maintenance,South,Consulting,10,Mumbai,Internal,2741.17,Anil Kumar,Ravi Shankar
2023,March,BGSW,Software,Premium,TCS,Upgrade,East,Support,8,Hyderabad,Internal,1211.36,Meena Das,Sourav Roy
2022,April,BGSW,Consulting,Standard,Infosys,Workpacket,West,Support,6,Kolkata,External,4889.18,Vikram Joshi,Neha Kapoor
2022,May,BGSW,Services,Standard,Amazon,Upgrade,North,Services,5,Mumbai,Internal,1133.95,Priya Singh,Manoj Verma
2022,April,BGSW,Software,Premium,TCS,Workpacket,South,Support,10,Kolkata,External,1354.25,Anil Kumar,Ravi Shankar
2022,May,BGSW,Software,Standard,Google,Upgrade,North,Services,2,Mumbai,External,4850.09,Priya Singh,Manoj Verma
2023,March,BGSW,Services,Premium,Google,Upgrade,North,Software,5,Chennai,Internal,4312.28,Priya Singh,Manoj Verma
2021,March,BGSW,Support,Standard,Google,Support,West,Software,1,Chennai,Internal,2131.36,Vikram Joshi,Neha Kapoor
2021,April,BGSW,Software,Basic,Google,Support,East,Consulting,2,Mumbai,External,4077.04,Meena Das,Sourav Roy
2023,March,BGSW,Consulting,Premium,Infosys,Upgrade,East,Services,1,Hyderabad,Internal,3711.16,Meena Das,Sourav Roy
2023,April,BGSW,Consulting,Basic,Infosys,Workpacket,West,Support,10,Delhi,Internal,2268.3,Vikram Joshi,Neha Kapoor
2023,March,BGSW,Software,Basic,Infosys,Maintenance,East,Software,1,Delhi,External,3532.13,Meena Das,Sourav Roy
2023,March,BGSW,Services,Basic,BBG,Maintenance,West,Consulting,1,Chennai,External,1267.3,Vikram Joshi,Neha Kapoor
2021,June,BGSW,Consulting,Premium,Infosys,Support,West,Consulting,1,Mumbai,External,2384.51,Vikram Joshi,Neha Kapoor
2023,February,BGSW,Software,Basic,TCS,Upgrade,West,Services,3,Chennai,Internal,3023.99,Vikram Joshi,Neha Kapoor
2023,April,BGSW,Support,Premium,BBG,Maintenance,West,Support,5,Chennai,External,1365.19,Vikram Joshi,Neha Kapoor
2022,May,BGSW,Support,Premium,Google,Maintenance,North,Consulting,8,Delhi,External,2069.61,Priya Singh,Manoj Verma
2022,January,BGSW,Software,Standard,TCS,Maintenance,East,Consulting,5,Hyderabad,External,4798.91,Meena Das,Sourav Roy
2022,April,BGSW,Support,Basic,BBG,Workpacket,South,Consulting,9,Delhi,External,1117.73,Anil Kumar,Ravi Shankar
2021,January,BGSW,Consulting,Basic,Amazon,Support,North,Services,7,Delhi,External,952.45,Priya Singh,Manoj Verma
2021,May,BGSW,Consulting,Standard,Wipro,Upgrade,North,Software,4,Delhi,External,1784.37,Priya Singh,Manoj Verma
2021,June,BGSW,Consulting,Basic,Wipro,Support,South,Consulting,7,Bangalore,Internal,4987.27,Anil Kumar,Ravi Shankar
2022,February,BGSW,Support,Premium,Microsoft,Maintenance,West,Services,6,Delhi,External,4950.95,Vikram Joshi,Neha Kapoor
2021,May,BGSW,Software,Standard,Amazon,Support,West,Support,3,Kolkata,External,3417.28,Vikram Joshi,Neha Kapoor
2021,June,BGSW,Support,Standard,Infosys,Workpacket,North,Consulting,10,Kolkata,External,4221.45,Priya Singh,Manoj Verma
2021,April,BGSW,Services,Premium,Amazon,Upgrade,East,Support,4,Hyderabad,External,2226.08,Meena Das,Sourav Roy
2022,March,BGSW,Support,Basic,Wipro,Support,West,Support,6,Kolkata,Internal,779.56,Vikram Joshi,Neha Kapoor
2022,March,BGSW,Consulting,Standard,Wipro,Maintenance,South,Services,5,Delhi,Internal,1486.08,Anil Kumar,Ravi Shankar
2022,February,BGSW,Software,Basic,Infosys,Maintenance,North,Software,9,Mumbai,Internal,3928.37,Priya Singh,Manoj Verma
2023,April,BGSW,Support,Premium,Infosys,Support,South,Services,9,Chennai,Internal,3077.16,Anil Kumar,Ravi Shankar
2021,March,BGSW,Software,Premium,Wipro,Workpacket,North,Software,2,Chennai,External,4139.11,Priya Singh,Manoj Verma
2021,May,BGSW,Software,Standard,Infosys,Support,West,Software,5,Kolkata,Internal,2281.77,Vikram Joshi,Neha Kapoor
2023,February,BGSW,Services,Premium,BBG,Maintenance,South,Services,9,Hyderabad,Internal,4937.62,Anil Kumar,Ravi Shankar
2021,March,BGSW,Software,Premium,TCS,Workpacket,West,Software,6,Mumbai,External,4413.29,Vikram Joshi,Neha Kapoor
2022,January,BGSW,Consulting,Basic,TCS,Maintenance,West,Services,3,Chennai,External,2879.79,Vikram Joshi,Neha Kapoor
2021,January,BGSW,Support,Standard,Wipro,Upgrade,North,Software,4,Bangalore,External,2057.72,Priya Singh,Manoj Verma
2021,June,BGSW,Services,Premium,TCS,Upgrade,East,Services,4,Bangalore,Internal,954.04,Meena Das,Sourav Roy
2022,May,BGSW,Services,Premium,Wipro,Support,South,Software,8,Bangalore,Internal,3894.74,Anil Kumar,Ravi Shankar
2021,May,BGSW,Support,Premium,TCS,Maintenance,South,Support,4,Delhi,Internal,4935.63,Anil Kumar,Ravi Shankar
2022,March,BGSW,Support,Premium,Infosys,Workpacket,North,Software,9,Mumbai,Internal,4875.31,Priya Singh,Manoj Verma
2023,March,BGSW,Software,Standard,Amazon,Maintenance,West,Software,3,Chennai,External,1584.36,Vikram Joshi,Neha Kapoor
2022,June,BGSW,Consulting,Standard,Microsoft,Upgrade,North,Software,9,Chennai,Internal,2247.89,Priya Singh,Manoj Verma
2021,March,BGSW,Services,Standard,TCS,Maintenance,East,Services,9,Kolkata,Internal,731.91,Meena Das,Sourav Roy
2023,May,BGSW,Services,Premium,Amazon,Workpacket,West,Software,4,Delhi,External,4806.59,Vikram Joshi,Neha Kapoor
2021,February,BGSW,Services,Basic,TCS,Upgrade,South,Consulting,10,Kolkata,Internal,2284.84,Anil Kumar,Ravi Shankar
2023,March,BGSW,Support,Standard,BBG,Maintenance,North,Support,5,Delhi,External,2597.02,Priya Singh,Manoj Verma
2022,February,BGSW,Support,Standard,BBG,Support,West,Consulting,3,Hyderabad,External,2989.9,Vikram Joshi,Neha Kapoor
2022,February,BGSW,Consulting,Standard,Amazon,Upgrade,West,Consulting,8,Chennai,External,1657.97,Vikram Joshi,Neha Kapoor
2023,June,BGSW,Software,Standard,Amazon,Maintenance,West,Consulting,3,Kolkata,External,1328.21,Vikram Joshi,Neha Kapoor
2023,January,BGSW,Services,Basic,Microsoft,Support,South,Software,3,Kolkata,Internal,805.86,Anil Kumar,Ravi Shankar
2021,February,BGSW,Software,Standard,Microsoft,Upgrade,North,Software,1,Hyderabad,External,553.33,Priya Singh,Manoj Verma
2023,March,BGSW,Services,Basic,TCS,Upgrade,East,Consulting,2,Hyderabad,Internal,1584.36,Meena Das,Sourav Roy
2022,March,BGSW,Software,Premium,Google,Upgrade,East,Software,10,Bangalore,Internal,1849.89,Meena Das,Sourav Roy
2023,June,BGSW,Services,Premium,BBG,Upgrade,South,Software,9,Mumbai,Internal,3365.37,Anil Kumar,Ravi Shankar
